feature,gain,split,gain_pct
up_last5_purchases,2701631.4591,302,33.5025
up_share_of_orders,1164317.316,956,14.4385
up_orders_since_last,1126063.6556,685,13.9641
up_order_rate,818559.6799,725,10.1508
up_days_since_last,539416.2182,2162,6.6892
up_avg_repeat_gap,319303.9457,1235,3.9596
p_second_purchase_rate,217186.0519,877,2.6933
u_reorder_rate,147895.6115,1993,1.834
up_n_purchases,132617.5803,373,1.6446
u_days_since_last_order,126273.0389,1461,1.5659
p_reorder_rate,92768.2314,599,1.1504
p_avg_repeat_gap,89442.9428,1253,1.1092
u_avg_gap,55896.7835,1722,0.6932
p_n_purchases,46143.9818,707,0.5722
p_reorder_lift,40571.9904,542,0.5031
u_sd_basket,33699.6933,1594,0.4179
u_avg_basket,33691.12,1526,0.4178
p_n_users,28361.4542,643,0.3517
p_avg_times_per_user,27776.2012,214,0.3444
u_hour_sin,27478.2488,1461,0.3408
u_sd_gap,26590.4205,1341,0.3297
p_avg_cart_position,26426.8007,823,0.3277
u_hour_cos,25983.8496,1401,0.3222
u_n_products,25046.6294,1243,0.3106
up_avg_cart_position,22420.7382,792,0.278
u_n_aisles,19576.8023,1029,0.2428
u_n_orders,18830.8053,639,0.2335
u_total_items,18561.5456,950,0.2302
up_last_order,14016.8295,494,0.1738
a_reorder_rate,12490.6581,333,0.1549
up_first_order,11359.3297,447,0.1409
a_avg_repeat_gap,9855.4227,322,0.1222
u_n_departments,9189.6965,498,0.114
u_top_dow,7855.2521,432,0.0974
a_n_products,7154.9812,402,0.0887
a_avg_cart_position,6776.7317,366,0.084
a_n_users,4759.6019,261,0.059
a_purchases_per_user,4525.0891,227,0.0561
a_n_purchases,3561.685,200,0.0442
d_n_purchases,2922.733,141,0.0362
d_avg_cart_position,2879.8075,161,0.0357
d_n_products,2829.3043,159,0.0351
d_reorder_rate,2721.6287,127,0.0338
a_second_purchase_rate,2288.0314,147,0.0284
d_n_aisles,1565.8717,82,0.0194
d_avg_repeat_gap,1374.2134,75,0.017
d_n_users,1217.0741,64,0.0151
p_popularity_decile,891.5344,23,0.0111
d_second_purchase_rate,693.2129,43,0.0086
d_purchases_per_user,502.4386,34,0.0062
