department,d_n_purchases,d_n_users,d_n_products,d_n_aisles,d_reorder_rate,d_second_purchase_rate,d_avg_cart_position,d_avg_repeat_gap,d_purchases_per_user
dairy eggs,5414016,190565,3448,10,0.67,0.9339,7.4954,13.4841,28.4103
beverages,2690129,172795,4363,8,0.6535,0.8575,6.9767,16.6649,15.5683
produce,9479291,193237,1684,5,0.6499,0.9471,8.0229,12.5031,49.0553
bakery,1176787,140612,1516,5,0.6281,0.7758,8.0844,20.5856,8.369
deli,1051249,133865,1322,5,0.6077,0.7543,8.6938,22.0319,7.8531
pets,97724,14986,972,2,0.6013,0.5946,7.7185,24.7867,6.521
babies,423802,33730,1081,4,0.579,0.6463,10.5759,20.5685,12.5645
bulk,34573,12484,38,2,0.577,0.4367,8.399,28.8846,2.7694
snacks,2887550,174219,6263,11,0.5742,0.8475,9.1877,17.6809,16.5743
alcohol,153696,15798,1054,5,0.5699,0.6786,5.4283,15.9856,9.7288
meat seafood,708931,113891,907,7,0.5677,0.7276,8.5282,24.2298,6.2246
breakfast,709569,114169,1114,4,0.5609,0.6857,9.124,25.8948,6.2151
frozen,2236432,163233,4007,11,0.5419,0.8336,8.9964,18.9902,13.7009
dry goods pasta,866627,124820,1858,5,0.4611,0.7247,10.2129,26.2835,6.943
canned goods,1068058,133733,2092,5,0.4574,0.7457,9.9473,24.6692,7.9865
other,36291,17875,548,1,0.408,0.3339,8.2776,35.0486,2.0303
household,738666,111608,3083,10,0.4022,0.6577,8.4922,27.829,6.6184
missing,69145,27862,1255,1,0.3958,0.4366,9.3395,19.7486,2.4817
international,269253,76583,1139,4,0.3692,0.5515,9.9471,36.6809,3.5158
pantry,1875577,172755,5370,12,0.3467,0.8197,9.5934,21.5216,10.8569
personal care,447123,93969,6563,17,0.3211,0.5938,8.7528,32.6292,4.7582
