user_id,u_n_orders,u_total_items,u_n_products,u_n_aisles,u_avg_basket,u_avg_gap,u_sd_gap,u_reorder_rate,n_candidates,expected_basket,n_recommended,n_actual
26841,16,136,52,27,8.5,16.7333,10.2013,0.6176,52,4.3587,6,2
18819,3,30,22,7,10.0,17.0,12.7279,0.2667,22,3.7982,5,5
18441,11,75,59,25,6.8182,12.2,11.1136,0.2133,59,2.0243,3,2
88732,5,34,24,19,6.8,16.75,2.2174,0.2941,24,3.3848,5,1
92432,5,70,41,23,14.0,24.25,11.5,0.4143,41,9.3139,12,10
109783,19,169,121,61,8.8947,5.4444,3.0529,0.284,121,5.1093,7,4
157321,4,43,33,20,10.75,24.3333,9.815,0.2326,33,4.9981,6,7
68926,23,149,26,16,6.4783,9.8182,7.9859,0.8255,26,4.8618,6,10
153000,14,70,56,32,5.0,10.9231,10.8663,0.2,56,2.0925,3,2
171939,6,53,45,23,8.8333,18.8,12.2147,0.1509,45,2.6363,4,5
100228,12,163,77,25,13.5833,20.2727,9.4243,0.5276,77,9.1373,11,11
157611,20,203,123,56,10.15,15.8421,10.0899,0.3941,123,8.5299,11,9
185161,5,37,34,18,7.4,25.25,9.5,0.0811,34,1.9326,3,1
173196,10,89,45,25,8.9,21.0,10.2103,0.4944,45,5.2651,7,7
100206,8,182,69,33,22.75,13.7143,10.1934,0.6209,69,18.4497,23,17
204089,13,157,109,50,12.0769,12.5,8.3937,0.3057,109,5.7638,7,14
154897,33,136,30,12,4.1212,5.75,4.8593,0.7794,30,4.7866,6,3
24053,17,234,113,54,13.7647,18.0625,9.2048,0.5171,113,11.4119,14,11
154001,69,816,375,89,11.8261,4.7059,5.6833,0.5404,375,10.4125,13,2
204182,6,46,25,11,7.6667,6.6,3.5777,0.4565,25,4.8922,6,2
115220,5,23,20,17,4.6,21.5,13.1783,0.1304,20,1.0196,2,1
11703,22,361,144,58,16.4091,13.7143,8.9339,0.6011,144,14.454,18,18
190169,3,12,8,7,4.0,20.0,14.1421,0.3333,8,1.6577,2,2
206133,4,21,21,11,5.25,19.3333,10.504,0.0,21,1.5965,2,1
81685,4,7,3,3,1.75,22.3333,13.2791,0.5714,3,1.0536,2,1
118706,3,39,31,21,13.0,8.0,4.2426,0.2051,31,6.7192,9,6
116676,12,28,13,11,2.3333,15.8182,11.2678,0.5357,13,1.6152,2,1
176094,3,36,32,20,12.0,25.0,7.0711,0.1111,32,3.3036,4,5
17910,10,126,51,19,12.6,21.2222,10.7561,0.5952,51,8.6071,11,10
140129,60,673,206,63,11.2167,5.9322,3.4133,0.6939,206,10.1527,13,7
73065,17,206,64,14,12.1176,6.3125,1.9906,0.6893,64,10.3322,13,11
31840,40,979,175,56,24.475,8.9487,6.4602,0.8212,175,23.8678,29,22
128296,5,28,23,19,5.6,5.75,1.893,0.1786,23,2.9592,4,3
54961,8,109,71,26,13.625,17.5714,12.0258,0.3486,71,7.8577,10,7
29398,20,144,59,23,7.2,14.9474,11.1578,0.5903,59,5.9188,8,6
125219,6,40,35,23,6.6667,27.8,4.9193,0.125,35,2.5098,4,9
178297,9,81,71,33,9.0,18.875,11.4198,0.1235,71,2.8315,4,0
175591,99,536,128,52,5.4141,3.3571,2.3165,0.7612,128,5.0598,7,6
95169,8,137,75,41,17.125,16.5714,11.6456,0.4526,75,14.8431,18,6
33261,14,94,69,28,6.7143,11.6923,8.2904,0.266,69,2.7002,4,1
26352,6,148,96,31,24.6667,20.0,8.86,0.3514,96,11.2961,14,15
68041,17,271,88,45,15.9412,18.8125,8.3922,0.6753,88,14.2727,18,14
195588,17,196,68,33,11.5294,13.6875,9.9513,0.6531,68,11.0996,14,8
114598,4,22,18,12,5.5,15.3333,13.6504,0.1818,18,2.2552,3,2
169461,7,60,42,32,8.5714,24.3333,6.6533,0.3,42,2.4306,3,3
155361,7,69,48,23,9.8571,17.8333,10.496,0.3043,48,4.6444,6,2
126292,15,78,62,19,5.2,14.0,10.3923,0.2051,62,2.3392,3,4
64298,15,279,106,53,18.6,16.5,6.9918,0.6201,106,12.6361,16,14
4289,20,92,59,25,4.6,10.0526,8.4095,0.3587,59,2.1319,3,2
100237,5,8,2,2,1.6,16.0,4.0825,0.75,2,1.4959,2,1
16116,9,106,60,35,11.7778,19.25,10.5661,0.434,60,6.6686,9,8
23922,6,73,40,13,12.1667,30.0,0.0,0.4521,40,6.6188,8,9
13557,22,199,122,50,9.0455,10.1429,8.9347,0.3869,122,5.1113,7,3
21140,3,16,16,11,5.3333,30.0,0.0,0.0,16,0.718,1,0
146502,12,128,60,29,10.6667,17.2727,5.5694,0.5312,60,8.7547,11,9
169977,3,11,7,7,3.6667,27.0,4.2426,0.3636,7,2.2302,3,3
89453,7,38,23,17,5.4286,14.6667,13.3666,0.3947,23,2.267,3,2
66747,6,26,18,12,4.3333,26.6,4.98,0.3077,18,2.6343,4,0
90385,9,20,9,8,2.2222,23.0,8.7014,0.55,9,1.649,2,2
139013,5,24,17,13,4.8,27.25,5.5,0.2917,17,2.187,3,0
